ts,ul_kBps,dl_kBps
1657374743.9416025,0.34, 0.19
1657374744.982514,4.35, 24.22
1657374746.0105197,30.48, 2223.91
1657374747.0379379,5.91, 600.43
1657374748.0779061,16.31, 2117.87
1657374749.1177294,6.47, 1322.73
1657374750.1436732,21.94, 7109.09
1657374751.1714678,31.59, 8849.90
1657374752.187072,18.89, 6791.85
1657374753.2105198,17.79, 6221.00
1657374754.2277691,16.95, 6055.30
1657374755.260302,16.95, 5691.97
1657374756.2861197,15.20, 4487.85
1657374757.3200445,17.62, 5752.13
1657374758.3505416,17.80, 6097.58
1657374759.380855,18.35, 6432.49
1657374760.4138987,20.69, 6267.57
1657374761.4442859,26.21, 6300.94
1657374762.4627347,48.51, 7591.48
1657374763.4954433,50.82, 6447.36
1657374764.5231254,48.48, 5874.80
1657374765.5446863,48.21, 6220.63
1657374766.5624304,52.08, 6248.31
1657374767.5917,59.64, 5992.98
1657374768.6099694,45.31, 5548.23
1657374769.6337464,45.79, 5285.41
1657374770.6623895,53.55, 5873.70
1657374771.6822379,43.38, 4973.35
1657374772.7125785,47.63, 5250.07
1657374773.7315772,48.37, 5411.30
1657374774.7629933,47.62, 5148.18
1657374775.7887616,44.17, 4862.25
1657374776.8239074,40.68, 4186.01
1657374777.8463898,20.36, 2557.17
1657374778.8722332,22.94, 3015.78
1657374779.887616,22.23, 2968.72
1657374780.9108863,33.89, 3172.55
1657374781.933436,35.20, 2684.21
1657374782.9551713,8.50, 1.97
1657374783.978878,11.63, 1.64
1657374785.012467,10.55, 1.38
1657374786.0444474,12.06, 1.39
1657374787.075182,13.42, 4.72
1657374788.1086261,11.07, 1.66
1657374789.1455781,10.76, 1.56
1657374790.181553,10.84, 1.47
1657374791.212463,14.35, 2.83
1657374792.2488809,11.21, 1.33
1657374793.282378,10.23, 1.70
1657374794.3069742,11.00, 1.66
1657374795.341678,11.18, 1.40
1657374796.3727405,10.54, 1.58
1657374797.4056334,10.81, 1.56
1657374798.4357142,10.64, 10.17
1657374799.4581943,18.99, 406.11
1657374800.488737,19.87, 1346.44
1657374801.5188913,31.14, 3156.75
1657374802.5390348,7.43, 19.33
1657374803.573939,11.03, 16.61
1657374804.613014,20.22, 181.70
1657374805.646679,12.53, 23.02
1657374806.6716967,20.22, 48.95
1657374807.7016535,57.76, 29.76
1657374808.73024,15.92, 31.02
1657374809.7608402,11.63, 25.65
1657374810.7914925,12.01, 26.05
1657374811.8258345,11.80, 25.92
1657374812.8566098,11.22, 24.75
1657374813.8795571,26.91, 3737.70
1657374814.909347,20.20, 3028.51
1657374815.9359155,11.73, 25.26
1657374816.966357,11.58, 26.21
1657374817.9951072,13.23, 26.99
1657374819.0285597,11.95, 26.02
1657374820.0598855,10.93, 25.77
1657374821.0870545,12.30, 25.38
1657374822.122863,11.89, 25.75
1657374823.149355,11.36, 24.89
1657374824.1811259,11.00, 26.17
1657374825.2165537,11.49, 22.79
1657374826.2488518,12.81, 23.04
1657374827.2760272,11.70, 26.94
1657374828.3044636,10.41, 21.81
1657374829.3349013,10.82, 25.24
1657374830.361627,11.23, 25.39
1657374831.388727,13.61, 21.82
1657374832.420922,11.62, 20.72
1657374833.44987,10.70, 26.43
1657374834.4831932,11.58, 29.13
1657374835.5139103,11.56, 24.46
1657374836.5426962,11.48, 26.35
1657374837.5746677,11.47, 22.42
1657374838.6044848,11.73, 23.97
1657374839.6343694,11.55, 22.77
1657374840.67418,11.53, 22.76
1657374841.7076957,11.03, 21.48
1657374842.7354863,11.65, 20.79
1657374843.7647183,11.58, 22.05
1657374844.7872589,26.42, 4662.95
1657374845.8222163,15.48, 641.20
1657374846.850202,11.66, 23.71
1657374847.8793967,11.57, 21.37
1657374848.9061747,12.72, 21.14
1657374849.938012,11.13, 22.03
1657374850.9669373,11.76, 21.82
1657374851.999074,11.13, 21.55
1657374853.0277374,11.26, 21.71
1657374854.0633216,11.32, 19.98
1657374855.0904202,10.96, 21.84
1657374856.1235647,11.44, 24.87
1657374857.155082,12.01, 23.52
1657374858.1854482,10.48, 22.65
1657374859.2201586,11.45, 25.57
1657374860.2499483,11.14, 25.98
1657374861.2729826,12.19, 24.36
1657374862.3114579,11.54, 25.80
1657374863.3420718,10.30, 26.82
1657374864.3781052,11.30, 26.59
