ts,ul_kBps,dl_kBps
1656939839.2740834,5.54, 15.93
1656939840.2757008,146.12, 2516.68
1656939841.2773197,109.91, 2738.53
1656939842.27884,224.73, 5850.65
1656939843.2799084,24.44, 169.27
1656939844.2814581,129.97, 4096.19
1656939846.2840183,510.47, 16480.82
1656939847.285503,390.06, 12809.49
1656939848.2871923,446.32, 17434.53
1656939849.2888224,333.16, 11719.13
1656939850.2894592,313.58, 10951.28
1656939851.2908993,135.85, 4737.52
1656939852.2924426,163.98, 5027.48
1656939853.2934794,166.34, 5130.80
1656939854.2952178,54.90, 1753.71
1656939855.296982,18.03, 863.81
1656939856.2987192,7.80, 250.51
1656939857.3004084,13.62, 496.75
1656939858.3015234,2.17, 124.61
1656939859.3031886,70.79, 2484.24
1656939860.3047876,109.32, 3985.80
1656939861.3066397,129.64, 4736.40
1656939862.3084238,114.29, 4586.55
1656939863.309677,100.45, 4321.32
1656939864.311635,90.94, 4140.71
1656939865.3131373,77.57, 3849.08
1656939866.3148851,114.43, 4526.61
1656939867.316659,100.91, 4581.12
1656939868.3174498,99.14, 4250.83
1656939869.3190575,90.07, 3946.98
1656939870.3206677,99.30, 4439.62
1656939871.3220725,95.41, 3991.99
1656939872.3237574,77.87, 3073.36
1656939873.3255413,62.91, 2483.47
1656939874.3266172,106.85, 4221.62
1656939875.3282502,104.80, 4111.95
1656939876.3294437,93.37, 4024.76
1656939877.3310301,96.54, 4035.96
1656939878.332586,102.00, 4175.12
1656939879.3334856,97.12, 4075.72
1656939880.3352146,139.87, 5798.13
1656939881.337054,100.18, 4129.97
1656939882.3387775,94.02, 4004.66
1656939883.340207,78.03, 3308.90
1656939884.3418026,103.35, 4262.55
1656939885.3435054,95.47, 3815.01
1656939886.3453145,95.61, 3803.96
1656939887.346574,96.23, 3621.06
1656939888.3482432,115.24, 3882.69
1656939889.349488,118.38, 3954.41
1656939890.3511672,119.68, 4015.04
1656939892.3546567,130.48, 4556.56
1656939893.3571422,197.71, 7143.67
1656939894.3591883,248.61, 9323.81
1656939895.3608139,253.85, 9603.98
1656939896.361355,214.35, 8283.03
1656939897.3628533,224.16, 8705.78
1656939898.3640046,164.85, 5615.32
1656939899.3654683,253.10, 8705.74
1656939900.3670738,177.58, 4910.74
1656939901.368595,286.46, 8842.89
1656939902.369402,267.10, 8271.40
1656939903.3709207,265.71, 8459.29
1656939904.3725793,281.15, 8275.86
1656939905.3734343,251.21, 8487.84
1656939906.3750963,245.41, 8489.83
1656939907.3768249,245.65, 8733.08
1656939908.3785946,226.57, 8618.36
1656939909.380423,233.32, 9381.81
1656939910.3814836,226.78, 8112.09
1656939911.3828313,264.66, 8407.69
1656939912.3845065,269.25, 8455.73
1656939913.3854926,117.92, 3787.65
1656939914.3871343,169.62, 5353.47
1656939915.3887203,92.71, 2812.08
1656939916.3895326,11.75, 289.40
1656939917.391198,8.49, 49.36
1656939918.3920746,124.27, 3304.61
1656939919.3934233,17.96, 98.02
1656939920.3949552,18.06, 41.83
1656939921.3965006,121.07, 3235.88
1656939922.3974257,37.82, 147.52
1656939923.3982131,138.10, 3638.50
1656939924.3999252,25.26, 53.38
1656939925.4014592,16.80, 48.73
1656939926.402574,24.58, 54.89
1656939927.4042122,26.18, 62.97
1656939928.4053621,25.58, 55.44
1656939929.4068882,30.26, 63.98
1656939930.4084547,27.43, 58.95
1656939931.4093432,27.60, 60.28
1656939932.4102771,30.23, 61.33
1656939933.4118013,28.12, 61.01
1656939934.4132996,30.45, 89.99
1656939935.4142225,35.72, 66.36
1656939937.417355,26.44, 59.61
1656939938.4188466,29.06, 60.54
1656939939.420509,19.14, 52.08
1656939940.4214199,33.76, 215.30
1656939941.4228985,26.86, 57.96
1656939942.424343,26.41, 59.95
1656939943.4253342,30.16, 62.25
1656939944.4268465,29.30, 66.01
1656939945.4283352,26.60, 58.85
1656939946.4294407,28.88, 68.93
1656939947.4310195,23.23, 58.53
1656939948.4321067,26.05, 54.87
1656939949.4333642,22.03, 57.17
1656939950.4349198,19.86, 52.30
1656939951.4364035,49.92, 893.47
1656939952.4374447,25.03, 81.73
1656939953.439007,23.51, 55.45
1656939954.4406328,22.17, 52.72
1656939955.4420047,22.22, 53.84
1656939956.4437861,24.45, 53.64
1656939957.4454498,39.78, 464.59
1656939958.4470925,23.68, 55.17
1656939959.4487257,26.64, 85.08
1656939960.4494462,26.16, 57.19
1656939961.451059,22.72, 52.76
1656939962.4516592,23.97, 53.97
1656939963.4532263,26.77, 68.31
1656939964.4547858,24.03, 54.70
