enter_room_ms,avatar_sel_ms,users_no
377407,0,16
339930,0,16
354622,0,16
363284,0,16
300467,0,16
358985,0,16
40393,0,16
322513,0,16
374014,0,16
309518,0,16
322500,0,16
333893,0,16
288492,0,16
359092,0,16
306749,0,16
360054,0,16
375296,0,16
