ts,ul_kBps,dl_kBps
1657293285.2922528,0.13, 1.45
1657293286.346618,3.68, 8.97
1657293287.4020333,25.11, 2159.87
1657293288.449229,5.92, 68.79
1657293289.5012991,5.16, 580.85
1657293290.541292,27.36, 2157.69
1657293291.5691497,5.73, 18.82
1657293292.6049252,24.62, 10601.84
1657293293.6383917,9.14, 5037.25
1657293294.6714716,65.15, 8182.58
1657293295.7008595,58.17, 9667.92
1657293296.7299638,23.86, 9504.47
1657293297.759215,60.93, 8945.60
1657293298.7916768,78.62, 9302.63
1657293299.8298645,15.14, 7618.52
1657293300.8834357,58.05, 4193.11
1657293301.9510972,9.42, 4602.54
1657293303.014312,13.65, 5197.57
1657293304.0829165,19.94, 6899.63
1657293305.1549628,23.92, 7074.94
1657293306.2347794,37.44, 7051.59
1657293307.3168666,56.65, 10589.12
1657293308.3681684,37.45, 6477.57
1657293309.4254227,48.24, 7728.86
1657293310.4846556,43.98, 6659.79
1657293311.5476856,20.25, 2834.77
1657293312.579192,20.22, 2839.73
1657293313.6109922,24.81, 3152.67
1657293314.6416721,26.76, 3063.67
1657293315.668688,28.26, 3042.04
1657293316.6967955,28.14, 3060.19
1657293317.7439795,28.46, 3077.04
1657293318.7957013,41.66, 9572.46
1657293319.8675282,28.33, 4729.07
1657293320.9436953,27.60, 3203.92
1657293321.9833689,30.99, 3054.07
1657293323.0305076,38.79, 3105.79
1657293324.0898643,37.40, 2707.79
1657293325.1357017,13.80, 44.24
1657293326.1874876,11.86, 35.77
1657293327.2346811,12.13, 42.73
1657293328.286866,13.36, 41.08
1657293329.3410182,12.14, 41.71
1657293330.391884,12.01, 35.95
1657293331.4406989,11.50, 38.12
1657293332.4906206,11.81, 34.87
1657293333.5304744,14.31, 32.77
1657293334.5739226,11.98, 37.37
1657293335.6176476,11.39, 37.14
1657293336.6717148,11.82, 36.06
1657293337.7127998,12.05, 35.66
1657293338.753441,11.65, 35.14
1657293339.8098135,11.72, 32.74
1657293340.8606641,11.21, 36.97
1657293341.9075458,12.13, 33.59
1657293342.9507349,12.45, 31.10
1657293344.006918,11.91, 34.86
1657293345.0586467,12.33, 35.91
1657293346.1096232,23.67, 62.15
1657293347.151892,14.15, 36.43
1657293348.1986406,12.08, 36.79
1657293349.2408295,12.70, 37.51
1657293350.2977057,14.91, 41.31
1657293351.3578281,10.79, 33.53
1657293352.4166677,11.23, 33.26
1657293353.471722,12.71, 37.65
1657293354.5376933,13.17, 182.62
1657293355.585917,11.39, 39.38
1657293356.6400092,14.42, 41.26
1657293357.6923032,12.53, 37.92
1657293358.7425463,11.64, 36.69
1657293359.7817204,13.22, 37.67
1657293360.8360028,10.60, 41.52
1657293361.8872225,11.15, 45.38
1657293362.938856,9.41, 46.90
1657293363.9867237,13.86, 50.33
1657293365.028695,12.29, 49.98
1657293366.0739272,11.47, 49.22
1657293367.1157591,11.61, 51.68
1657293368.1717372,18.39, 1266.56
1657293369.228788,25.69, 3858.85
1657293370.2779922,14.17, 50.40
1657293371.3425705,13.76, 49.44
1657293372.3939662,13.82, 48.52
1657293373.4354694,15.59, 55.82
1657293374.4846628,12.68, 52.34
1657293375.5397732,13.08, 50.06
1657293376.5788996,12.54, 49.00
1657293377.6227882,14.04, 49.76
1657293378.667888,14.50, 48.29
