timed
250
259
250
252
232
281
227
444
393
298
229
324
270
timed
289
243
251
249
247
246
248
timed
249
242
247
259
251
253
245
256
timed
253
229
239
228
233
247
276
231
237
235
231
251
227
272
232
245
231
231
226
249
235
229
234
236
226
229
227
235
231
230
255
227
237
233
227
227
231
227
233
257
236
230
228
242
231
233
229
230
232
229
232
238
230
238
229
230
234
231
228
228
228
230
227
227
227
227
227
228
227
229
226
229
227
226
226
226
226
227
228
227
227
226
227
228
228
226
250
234
228
228
227
226
226
227
226
226
226
226
229
229
227
228
227
231
228
226
226
226
226
226
227
228
227
233
226
226
226
226
229
227
226
227
227
228
226
227
226
227
228
230
227
226
226
226
228
226
226
226
233
230
229
227
226
226
226
226
226
227
226
230
226
226
228
245
226
234
233
226
226
229
227
226
226
229
226
227
226
227
228
228
227
227
227
226
226
233
226
227
235
228
231
230
227
231
227
227
227
232
227
226
232
228
227
227
226
230
226
226
226
227
227
226
227
226
227
230
227
228
226
227
226
227
228
226
226
226
229
226
226
227
229
229
232
226
227
226
229
227
226
227
227
226
226
226
226
226
227
233
228
229
