ts,ul_kBps,dl_kBps
1657376362.7282197,0.47, 0.31
1657376363.7744656,4.04, 23.57
1657376364.8029375,25.60, 2165.78
1657376365.8233955,6.66, 64.19
1657376366.8729885,13.60, 2617.40
1657376367.9110086,7.90, 60.30
1657376368.933706,9.90, 2804.80
1657376369.9513173,15.16, 4917.52
1657376370.9664228,19.19, 5086.12
1657376371.9857147,13.56, 4923.98
1657376373.0004435,14.13, 5077.73
1657376374.0214157,13.34, 5059.14
1657376375.0589051,10.74, 3672.63
1657376376.088042,11.05, 2872.22
1657376377.1225731,13.18, 4676.49
1657376378.1594284,13.93, 4881.04
1657376379.1855023,14.08, 5390.29
1657376380.2184367,15.56, 5020.67
1657376381.246048,31.85, 4729.01
1657376382.2806654,37.07, 5060.33
1657376383.3031027,39.60, 5393.88
1657376384.3210824,44.00, 5646.78
1657376385.338963,40.98, 4985.85
1657376386.3549135,41.72, 4900.07
1657376387.3882296,47.75, 5277.35
1657376388.410882,42.91, 4875.11
1657376389.4331007,46.74, 5379.38
1657376390.4647765,47.57, 5429.31
1657376391.4940293,37.17, 5114.48
1657376392.516947,45.81, 5572.20
1657376393.536051,46.50, 5469.07
1657376394.556723,47.11, 5389.39
1657376395.5848436,44.22, 5767.13
1657376396.6071053,37.89, 4977.70
1657376397.6431394,42.76, 5408.23
1657376398.6746283,44.90, 5733.77
1657376399.6914945,41.26, 4727.89
1657376400.7124908,49.63, 5340.92
1657376401.7404726,46.47, 4895.44
1657376402.7616954,19.76, 4562.90
1657376403.7894912,14.38, 5077.70
1657376404.8091948,3.15, 758.47
1657376405.824717,0.61, 3.05
1657376406.8392978,0.37, 0.13
1657376407.8676143,14.01, 42.85
1657376408.8986642,11.01, 86.55
1657376409.9253368,25.16, 1792.26
1657376410.940651,15.72, 1739.35
1657376411.964827,16.65, 3.48
1657376413.0031116,11.59, 1.55
1657376414.036167,17.96, 6.76
1657376415.0587816,10.72, 1.21
1657376416.0948594,10.09, 1.61
1657376417.1175895,9.96, 1.25
1657376418.1490173,11.01, 1.62
1657376419.176594,9.81, 1.65
1657376420.199508,10.63, 1.44
1657376421.223119,10.58, 1.49
1657376422.2422817,10.00, 1.52
1657376423.2646797,17.76, 14.12
1657376424.2976599,10.05, 1.66
