ts,ul_kBps,dl_kBps
1656934422.6494665,0.26, 0.28
1656934423.6510003,5.63, 26.79
1656934424.6526215,92.12, 2389.48
1656934425.6534204,115.48, 3155.30
1656934426.6550124,14.68, 90.64
1656934427.6566412,3.58, 20.18
1656934428.6574874,9.63, 111.52
1656934429.6591809,69.05, 2217.95
1656934430.6609216,298.07, 9542.58
1656934431.6626601,186.36, 6084.14
1656934432.6643417,136.00, 4248.95
1656934433.6654086,138.59, 4411.00
1656934434.667072,103.00, 3286.56
1656934435.66886,124.00, 4722.29
1656934436.6695213,90.92, 5354.58
1656934437.6714308,47.61, 3634.12
1656934438.6733723,44.28, 3598.11
1656934439.6751235,54.46, 4747.40
1656934440.6768637,55.60, 4943.80
1656934441.6785648,53.16, 4586.19
1656934442.6803017,60.04, 4344.50
1656934444.6831656,86.88, 6222.98
1656934445.6848135,71.01, 4534.30
1656934446.6865654,69.53, 4023.97
1656934447.6883535,33.26, 1923.25
1656934448.689597,88.77, 4443.69
1656934449.691456,86.32, 4343.95
1656934450.693076,96.61, 4664.58
1656934451.6946123,112.65, 4678.95
1656934452.6965084,93.05, 3482.46
1656934453.6975198,115.04, 3638.63
1656934454.6992404,95.56, 3077.85
1656934455.7009597,148.59, 4747.17
1656934456.702667,133.20, 4247.51
1656934457.7043724,135.00, 4294.76
1656934458.705531,129.38, 4139.18
1656934459.7072115,124.74, 4012.43
1656934460.7089674,129.73, 4111.29
1656934461.711016,132.65, 4261.79
1656934462.7127497,200.57, 6501.04
1656934463.7136781,147.81, 4402.35
1656934464.7154899,105.00, 3259.70
1656934465.717202,108.10, 3417.82
1656934466.7189264,146.00, 4607.52
1656934467.720762,157.99, 5035.90
1656934468.7226815,149.17, 4694.59
1656934469.7245674,140.29, 4450.49
1656934470.7257938,142.95, 4537.77
1656934471.7279186,96.12, 3118.64
1656934472.72953,10.96, 272.37
1656934473.731292,1.10, 12.73
1656934474.7326937,1.62, 12.61
1656934475.7335463,1.33, 11.74
1656934476.735111,1.96, 13.95
1656934477.7365913,10.85, 34.88
1656934478.7374992,29.98, 246.16
1656934479.738892,35.86, 690.44
1656934480.7397532,23.93, 404.90
1656934481.7414465,34.58, 813.80
1656934482.743039,103.65, 2440.02
1656934483.7446392,252.39, 7548.42
1656934484.745537,11.53, 65.53
1656934485.747142,11.76, 23.59
1656934486.748558,184.04, 5549.15
1656934487.7494678,10.51, 23.71
1656934488.751116,15.22, 28.33
1656934490.7534616,15.22, 24.80
1656934491.7551496,17.98, 31.65
1656934492.7567406,15.52, 25.42
1656934493.7575834,20.53, 53.36
1656934494.7590878,27.06, 194.42
1656934495.7605898,38.64, 605.84
1656934496.761628,106.87, 2932.99
1656934497.7634678,29.57, 434.22
1656934498.7650242,23.17, 145.26
1656934499.7667615,15.52, 28.30
1656934500.768344,17.92, 33.60
1656934501.7693555,22.19, 171.76
1656934502.771007,17.96, 35.12
1656934503.7720969,13.67, 26.20
1656934504.773603,11.49, 25.97
1656934505.7754202,12.51, 25.82
1656934506.777154,10.40, 24.76
1656934507.7788084,11.48, 25.39
1656934508.7804792,14.48, 26.36
1656934509.7813957,11.19, 25.11
1656934510.7829554,12.66, 26.38
