event_id,server_timestamp,client_id,client_timestamp
avatar_selected,1656950820228,Linux_49,1656950820076
joined_room,1656950660107,Linux_291,1656950660004
link_access,1656950483220,Linux_138,1656950482402
link_access,1656950594774,Linux_49,1656950594646
joined_room,1656950819746,Linux_49,1656950819597
avatar_selected,1656950648070,Windows_699,1656950647952
avatar_selected,1656950660879,Linux_291,1656950660776
link_access,1656950595220,Linux_363,1656950595086
link_access,1656950584839,Linux_291,1656950584503
link_access,1656950585043,Linux_632,1656950584872
avatar_selected,1656950662094,Linux_632,1656950661990
link_access,1656950590038,Windows_699,1656950589743
avatar_selected,1656950859213,Linux_363,1656950858933
joined_room,1656950647853,Windows_699,1656950647727
joined_room,1656950661181,Linux_632,1656950661071
joined_room,1656950858386,Linux_363,1656950858050
