ts,ul_kBps,dl_kBps
1656859413.7208128,0.44, 0.24
1656859414.7517927,4.28, 24.27
1656859415.7754903,28.81, 2320.30
1656859416.79511,7.35, 1009.59
1656859417.8183372,18.24, 2130.90
1656859418.834068,5.48, 1112.74
1656859419.8509192,16.84, 6779.32
1656859420.8731856,20.22, 6801.19
1656859421.8894668,14.57, 5900.30
1656859422.9047856,16.02, 6655.21
1656859423.932008,17.06, 7403.61
1656859424.957735,19.16, 6909.13
1656859425.9813373,14.91, 6362.38
1656859426.9974093,13.26, 4721.83
1656859428.0122368,13.82, 6059.82
1656859429.032714,12.95, 5168.87
1656859430.045994,15.71, 6471.94
1656859431.0652845,39.32, 6381.09
1656859432.0775633,47.46, 6584.66
1656859433.1028705,54.37, 6646.44
1656859434.1264334,57.91, 7100.56
1656859435.1526499,55.47, 6932.70
1656859436.1764836,56.64, 6447.21
1656859437.1989202,45.92, 5330.51
1656859438.217338,61.12, 7016.81
1656859439.2332048,60.05, 6877.63
1656859440.2607012,56.52, 6120.41
1656859441.2755027,63.05, 6931.33
1656859442.2951798,58.94, 6371.93
1656859443.3139575,56.57, 6123.73
1656859444.3407047,27.07, 3114.20
1656859445.3638854,57.51, 6630.99
1656859446.3855524,39.27, 5102.32
1656859447.413876,13.49, 5637.38
1656859448.4352913,1.63, 250.11
1656859449.462015,0.58, 2.71
1656859450.4764225,0.34, 0.25
1656859451.502068,6.57, 22.00
1656859452.5335999,13.91, 110.92
1656859453.5650284,14.53, 151.67
1656859454.5886993,16.60, 2454.24
1656859455.6207767,7.19, 352.65
1656859456.651117,10.77, 1.35
1656859457.6771927,10.93, 1.68
1656859458.7083068,11.78, 1.72
1656859459.7452664,10.67, 1.64
1656859460.7729454,10.86, 1.95
1656859461.8015685,11.49, 1.43
1656859462.8353004,11.19, 1.95
1656859463.8718023,10.63, 1.40
1656859464.896075,10.71, 1.56
1656859465.9269795,10.41, 1.48
1656859466.9571533,11.35, 1.35
1656859467.989472,11.18, 1.69
1656859469.022152,10.57, 1.63
1656859470.056994,10.62, 1.73
1656859471.0857708,9.80, 1.46
1656859472.1183841,11.60, 1.59
1656859473.1506276,10.27, 1.60
1656859474.1832309,16.69, 15.07
1656859475.214674,9.69, 1.57
1656859476.2469392,9.63, 1.69
1656859477.2830837,11.40, 1.72
1656859478.3182566,11.23, 2.57
1656859479.3474548,10.44, 3.55
1656859480.3809767,10.49, 3.09
1656859481.4139035,10.08, 2.76
1656859482.4536815,26.04, 1771.09
1656859483.490187,8.81, 14.83
1656859484.5147984,11.58, 11.18
1656859485.5506437,11.57, 14.76
1656859486.583932,12.41, 31.97
1656859487.6173015,11.97, 61.20
1656859488.6464653,12.35, 80.36
1656859489.6696968,12.40, 50.65
1656859490.7005854,19.68, 902.68
1656859491.7318785,18.90, 2170.86
1656859492.760154,17.29, 1177.76
1656859493.7877383,19.45, 2817.59
1656859494.8169951,13.71, 1078.78
1656859495.8390858,15.44, 1454.70
1656859496.869832,20.91, 2945.76
