event_id,server_timestamp,client_id,client_timestamp
link_access,1656308647707,Windows_717,1656308647831
link_access,1656308649640,Windows_28,1656308649751
link_access,1656308647026,Windows_883,1656308647151
joined_room,1656308714691,Windows_431,1656308714814
link_access,1656308648291,Windows_256,1656308648415
avatar_selected,1656308714314,Windows_105,1656308714435
joined_room,1656308631150,Windows_985,1656308631278
avatar_selected,1656308721532,Windows_788,1656308721658
joined_room,1656308712881,Windows_563,1656308713004
joined_room,1656308713336,Windows_264,1656308713458
joined_room,1656308713481,Windows_229,1656308713565
joined_room,1656308669230,Windows_641,1656308669358
avatar_selected,1656308720916,Windows_863,1656308721040
joined_room,1656308712824,Windows_802,1656308712931
link_access,1656308650265,Windows_105,1656308650375
link_access,1656308649325,Windows_863,1656308649435
joined_room,1656308650548,Windows_55,1656308650348
joined_room,1656308718163,Windows_256,1656308718284
avatar_selected,1656308754909,Windows_922,1656308755032
link_access,1656308649367,Windows_922,1656308649469
joined_room,1656308703565,Windows_788,1656308703689
avatar_selected,1656308674537,Windows_883,1656308674628
avatar_selected,1656308748918,Windows_619,1656308749036
joined_room,1656308717392,Windows_28,1656308717510
avatar_selected,1656308780535,Windows_28,1656308780654
link_access,1656308648499,Windows_803,1656308648632
joined_room,1656308712587,Windows_803,1656308712716
link_access,1656308641816,Windows_55,1656308641613
link_access,1656308648769,Windows_118,1656308648884
joined_room,1656308711258,Windows_922,1656308711383
link_access,1656308651240,Windows_619,1656308651320
avatar_selected,1656308755027,Windows_563,1656308755147
avatar_selected,1656308777955,Windows_118,1656308778078
link_access,1656308648799,Windows_431,1656308648919
joined_room,1656308707101,Windows_210,1656308707225
link_access,1656308649870,Windows_210,1656308649953
link_access,1656308650363,Windows_544,1656308650472
avatar_selected,1656308721713,Windows_210,1656308721826
avatar_selected,1656308744258,Windows_229,1656308744380
link_access,1656308650282,Windows_563,1656308650392
avatar_selected,1656308721322,Windows_717,1656308721443
avatar_selected,1656308650826,Windows_55,1656308650621
joined_room,1656308712619,Windows_863,1656308712742
avatar_selected,1656308767227,Windows_431,1656308767340
link_access,1656308648730,Windows_229,1656308648844
avatar_selected,1656308685235,Windows_641,1656308685370
avatar_selected,1656308759685,Windows_802,1656308759806
link_access,1656308647501,Windows_641,1656308647631
link_access,1656308650178,Windows_788,1656308650301
link_access,1656308649886,Windows_802,1656308650009
joined_room,1656308718250,Windows_118,1656308718373
joined_room,1656308704759,Windows_619,1656308704883
link_access,1656308649696,Windows_264,1656308649810
avatar_selected,1656308721218,Windows_803,1656308721349
link_access,1656308606566,Windows_985,1656308606681
joined_room,1656308703287,Windows_544,1656308703416
avatar_selected,1656308754256,Windows_264,1656308754370
joined_room,1656308667563,Windows_883,1656308667670
avatar_selected,1656308759951,Windows_256,1656308760058
avatar_selected,1656308717240,Windows_544,1656308717364
joined_room,1656308713316,Windows_717,1656308713421
joined_room,1656308697125,Windows_105,1656308697233
