enter_room_ms,avatar_sel_ms,users_no
Windows_207, 249719,252440,16
Windows_407, 183769,185511,16
Windows_530, 37141,37382,16
Windows_54, 273384,276444,16
Windows_549, 300310,300310,16
Windows_844, 229973,235913,16
Windows_86, 288746,297130,16
Windows_967, 296265,296265,16
