"Interval start","Downlink Bitrate","Uplink Bitrate","Downlink Packet Size","Uplink Packet Size","Downlink Packet Rate","Uplink Packet Rate"
178,1.55204e+06,497704,460.819,450.819,421,138
179,1.61646e+06,506224,465.569,448.78,434,141
180,1.58484e+06,504512,472.804,456.986,419,138
150,1.54333e+06,504512,458.233,456.986,421,138
151,1.56754e+06,506224,462.127,448.78,424,141
152,1.57142e+06,504512,462.184,456.986,425,138
153,1.56522e+06,513584,459.277,452.099,426,142
154,1.57081e+06,504512,463.092,456.986,424,138
155,1.43382e+06,498048,458.964,447.885,413,139
156,1.50574e+06,505776,448.136,451.586,420,140
157,1.46498e+06,504984,445.552,454.122,411,139
158,1.53884e+06,499376,443.214,445.871,434,140
159,1.53406e+06,511656,455.482,460.122,421,139
160,1.55902e+06,499488,465.1,445.971,419,140
160,1.55902e+06,499488,465.1,445.971,419,140
72,2.14221e+06,483232,505.432,440.905,480,137
73,2.15919e+06,492488,506.134,439.721,470,140
74,2.07925e+06,505144,509.902,457.558,476,138
75,2.07525e+06,505264,504.152,454.374,481,139
76,2.10382e+06,498800,502.897,445.357,478,140
77,2.18816e+06,498328,508.629,448.137,470,139
78,2.09034e+06,503632,516.096,459.518,483,137
79,2.08549e+06,506504,514.38,449.028,473,141
80,2.09648e+06,504232,500.484,456.732,481,138
81,2.09278e+06,506528,517.084,449.05,484,141
82,2.07698e+06,505152,517.963,454.273,477,139
83,2.10644e+06,497168,518.497,453.62,476,137
84,2.08279e+06,504040,526.711,456.558,470,138
85,2.10178e+06,506504,516.862,449.028,486,141
86,2.07135e+06,505544,517.434,451.379,503,140
87,2.11064e+06,512472,513.286,457.564,513,140
88,2.09204e+06,496888,512.523,453.365,506,137
89,2.08365e+06,503784,511.626,459.657,485,137
90,2.06601e+06,505496,501.915,451.336,476,140
91,2.09884e+06,506504,498.13,449.028,476,141
92,2.07983e+06,504960,493.463,454.101,476,139
72,2.14221e+06,483232,495.432,440.905,476,137
73,2.15919e+06,492488,496.134,439.721,486,140
74,2.07925e+06,505144,489.902,457.558,486,138
75,2.07525e+06,505264,494.152,454.374,476,139
76,2.10382e+06,498800,492.897,445.357,486,140
77,2.18816e+06,498328,508.629,448.137,496,139
78,2.09034e+06,503632,496.096,459.518,493,137
79,2.08549e+06,506504,494.38,449.028,493,141
80,2.09648e+06,504232,490.484,456.732,491,138
81,2.09278e+06,506528,494,449.05,494,141
82,2.07698e+06,505152,487.963,454.273,497,139
83,2.10644e+06,497168,488.497,453.62,496,137
84,2.08279e+06,504040,486.711,456.558,490,138
85,2.10178e+06,506504,486.862,449.028,486,141
86,2.07135e+06,505544,490.434,451.379,503,140
87,2.11064e+06,512472,493.286,457.564,503,140
88,2.09204e+06,496888,494.523,453.365,506,137
89,2.08365e+06,503784,492.626,459.657,485,137
90,2.06601e+06,505496,491.915,451.336,510,140
91,2.09884e+06,506504,498.13,449.028,505,141
92,2.07983e+06,504960,483.463,454.101,522,139
91,1.09884e+06,306504,398.13,249.028,305,141
93,0,0,0,0,0,0
