ts,ul_kBps,dl_kBps
1656867131.5761008,0.19, 0.14
1656867132.6135209,4.51, 24.44
1656867133.6321664,34.74, 1829.83
1656867134.6683502,10.49, 493.36
1656867135.6937356,11.45, 648.41
1656867136.7174797,22.82, 1547.89
1656867137.7344625,13.24, 1141.97
1656867138.7727616,30.17, 1618.07
1656867139.7906666,17.49, 1862.04
1656867140.819365,20.06, 1799.46
1656867141.836768,14.13, 1478.61
1656867142.859853,14.25, 1528.61
1656867143.8790925,12.70, 1439.48
1656867144.8963623,14.91, 1569.84
1656867145.9116766,14.71, 1564.15
1656867146.9370646,14.37, 1638.26
1656867147.9704306,14.05, 1603.43
1656867149.0056105,13.48, 1480.13
1656867150.0387056,10.06, 1146.54
1656867151.0777988,13.07, 1497.73
1656867152.1216633,17.34, 1197.26
1656867153.1609006,23.83, 1621.90
1656867154.1931753,24.34, 1685.67
1656867155.2237656,37.69, 1648.40
1656867156.2599618,28.91, 1616.05
1656867157.2945764,27.57, 1473.81
1656867158.3199599,26.27, 1386.84
1656867159.35465,30.86, 1623.86
1656867160.3824272,29.24, 1577.73
1656867161.4101439,34.79, 1884.63
1656867162.4304607,30.94, 1799.28
1656867163.4666653,28.91, 1607.09
1656867164.4937408,26.91, 1642.90
1656867165.5206892,31.12, 1845.01
1656867166.5392032,26.35, 1521.27
1656867167.5672567,29.99, 1587.96
1656867168.598018,39.08, 1701.88
1656867169.638149,30.80, 1582.82
1656867170.6641476,31.93, 1617.47
1656867171.6808484,39.87, 2180.70
1656867172.701307,34.51, 1839.77
1656867173.7192512,32.42, 1690.28
1656867174.7548828,28.45, 1519.23
1656867175.7881148,27.63, 1502.63
1656867176.8083396,29.32, 1637.18
1656867177.8345983,29.92, 1628.61
1656867178.885503,33.67, 1840.87
1656867179.9051204,50.93, 3005.81
1656867180.9233198,55.58, 3351.11
1656867181.942961,56.72, 3453.64
1656867182.9592888,56.68, 3455.73
1656867183.972121,49.33, 3377.55
1656867184.993593,46.90, 3361.63
1656867186.0218227,45.79, 3353.93
1656867187.0455642,21.93, 1397.45
1656867188.0660884,43.71, 2826.83
1656867189.097724,36.64, 2310.97
1656867190.1244934,29.15, 1553.98
1656867191.140661,34.27, 1799.58
1656867192.16767,67.54, 3280.82
1656867193.191536,60.39, 3268.70
1656867194.216411,24.91, 1370.91
1656867195.2454693,13.04, 636.69
1656867196.2713497,59.80, 3243.45
1656867197.2859163,60.10, 3338.46
1656867198.3101087,62.38, 3411.59
1656867199.3236501,60.90, 3385.56
1656867200.3506682,58.44, 3047.74
1656867201.3683426,58.80, 3229.16
1656867202.3919754,50.11, 2679.33
1656867203.4078963,65.18, 3323.34
1656867204.4341033,40.23, 3297.33
1656867205.450559,33.38, 3320.30
1656867206.4781284,33.26, 3329.45
1656867207.4982383,35.55, 3285.81
1656867208.526096,34.81, 3472.97
1656867209.5598266,17.31, 1670.06
1656867210.584148,31.49, 2990.65
1656867211.6133473,36.44, 3414.10
1656867212.636878,34.94, 3367.02
1656867213.6552236,31.08, 3136.10
1656867214.683951,33.26, 3380.69
1656867215.7112367,34.23, 3339.95
1656867216.7237096,39.19, 5640.06
1656867217.7460685,15.78, 5629.11
1656867218.771161,3.13, 287.22
1656867219.78453,1.69, 68.83
1656867220.7965872,1.93, 110.82
1656867221.8129358,3.87, 24.04
1656867222.8350446,14.30, 46.69
1656867223.8596091,14.95, 133.00
1656867224.8827577,25.30, 484.90
1656867225.9109952,32.60, 1811.83
1656867226.9303303,27.14, 1247.76
1656867227.9511354,15.74, 26.13
1656867228.973028,18.43, 31.15
1656867230.0035858,15.21, 27.21
1656867231.02816,18.74, 33.17
1656867232.0562017,15.07, 28.29
1656867233.0899112,14.40, 27.05
1656867234.114626,13.61, 25.22
1656867235.1449623,13.31, 24.25
1656867236.1729605,11.95, 24.64
1656867237.1971092,11.62, 27.51
1656867238.2243254,13.88, 26.21
1656867239.246324,13.16, 27.11
1656867240.275756,14.23, 27.97
1656867241.3012018,14.02, 27.02
1656867242.330156,14.04, 28.63
1656867243.3611913,14.89, 26.12
1656867244.3867304,13.94, 26.55
1656867245.40927,13.12, 27.53
1656867246.449264,12.40, 27.04
1656867247.4703643,14.26, 26.91
1656867248.497021,15.35, 26.95
1656867249.5243194,12.54, 27.25
1656867250.5528686,13.39, 26.21
1656867251.5804586,13.14, 26.72
1656867252.6179354,14.17, 27.73
1656867253.6440158,14.36, 26.74
1656867254.668968,14.15, 27.02
1656867255.6975536,8.26, 27.20
1656867256.7255511,12.80, 27.87
1656867257.7546644,15.03, 26.97
1656867258.7799802,14.50, 26.03
1656867259.806828,13.09, 29.34
1656867260.8398936,14.23, 26.11
1656867261.8691564,15.84, 29.20
1656867262.8966959,14.49, 27.50
1656867263.925878,13.63, 27.11
1656867264.9501684,13.90, 26.00
1656867265.9730806,14.26, 28.01
1656867266.9979668,13.49, 27.84
1656867268.0224962,15.56, 27.22
1656867269.0516002,15.31, 26.72
1656867270.0715811,14.08, 26.98
1656867271.0957031,19.14, 31.54
1656867272.1321826,13.39, 28.14
1656867273.1570795,14.22, 26.87
1656867274.1883492,14.03, 26.21
1656867275.2168243,16.37, 30.34
1656867276.240251,13.29, 26.90
1656867277.2699714,16.08, 27.94
1656867278.3043122,13.99, 28.22
1656867279.325296,13.12, 26.18
1656867280.3542678,14.24, 26.89
1656867281.382229,13.65, 26.34
1656867282.410998,14.14, 27.68
1656867283.4347131,15.42, 27.00
1656867284.4626474,13.89, 25.76
1656867285.4915662,14.02, 28.06
1656867286.5164173,13.67, 27.39
1656867287.5492003,13.84, 22.76
1656867288.5779395,14.32, 26.38
1656867289.597927,12.86, 27.20
1656867290.6306226,14.60, 27.46
1656867291.6595469,13.80, 27.91
1656867292.6875274,14.83, 26.63
1656867293.7126415,14.26, 25.76
1656867294.7385778,13.60, 27.43
1656867295.7663577,13.79, 26.60
1656867296.7961984,13.59, 26.06
1656867297.823685,14.67, 25.16
1656867298.8536034,14.05, 26.16
1656867299.8776665,13.82, 26.02
1656867300.9144952,13.95, 25.19
1656867301.950016,9.81, 25.91
1656867302.974591,14.34, 25.71
1656867304.0069604,13.91, 25.53
1656867305.0344436,16.41, 25.79
1656867306.0631804,14.03, 26.64
1656867307.0875323,12.66, 26.28
1656867308.1154869,17.91, 26.99
1656867309.1596231,16.84, 25.16
1656867310.1813014,13.06, 25.35
1656867311.2073195,13.71, 26.42
1656867312.2394729,12.10, 27.55
1656867313.2659082,14.45, 26.13
1656867314.2945743,14.38, 27.15
1656867315.3234756,12.41, 25.02
1656867316.3497932,11.86, 26.87
1656867317.3743567,12.47, 27.35
1656867318.4045835,19.11, 30.00
1656867319.432006,12.44, 26.85
1656867320.4718034,12.11, 27.45
1656867321.5037687,11.38, 26.13
1656867322.5476832,11.44, 26.96
1656867323.590093,11.16, 26.64
1656867324.618529,12.17, 26.76
1656867325.6448853,12.22, 27.06
1656867326.6741273,11.84, 27.31
1656867327.7059927,11.30, 26.64
1656867328.7327962,11.65, 27.12
1656867329.7716894,11.28, 26.21
1656867330.80262,13.78, 28.59
1656867331.8308291,12.25, 27.32
1656867332.8672237,12.77, 26.81
1656867333.8918545,12.62, 22.94
1656867334.9204538,12.83, 26.94
1656867335.9488938,13.94, 26.36
1656867336.9773614,14.07, 26.57
1656867337.9977553,12.64, 26.55
1656867339.0299969,15.93, 28.37
1656867340.0569246,14.07, 26.60
1656867341.091394,13.99, 25.91
1656867342.1165695,14.03, 27.76
1656867343.1474469,14.56, 26.59
1656867344.178743,17.32, 27.72
1656867345.207314,13.59, 25.06
1656867346.2335603,14.29, 26.95
1656867347.261608,13.44, 27.84
1656867348.2885494,13.17, 26.53
1656867349.3178225,16.17, 28.78
1656867350.3593774,13.62, 24.67
1656867351.3843496,18.23, 26.45
1656867352.4291096,14.22, 26.70
1656867353.4626756,20.35, 43.81
1656867354.4936163,14.95, 26.57
1656867355.5233326,12.08, 26.83
1656867356.550105,13.69, 25.84
1656867357.5852525,14.65, 27.23
1656867358.6116886,15.30, 24.50
1656867359.6397214,11.94, 23.94
1656867360.6642032,14.27, 25.41
1656867361.6895275,13.60, 26.03
1656867362.7161412,13.45, 26.87
1656867363.7497513,15.10, 27.03
1656867364.7785664,14.80, 27.16
1656867365.8082442,15.19, 26.87
1656867366.8345568,17.09, 33.55
1656867367.8663666,14.42, 26.67
1656867368.8933475,15.22, 26.38
1656867369.9190817,18.46, 36.67
1656867370.9518347,14.59, 28.09
1656867371.9778326,14.22, 26.11
1656867373.0066712,15.47, 24.19
1656867374.0315292,15.91, 27.60
1656867375.064783,13.09, 26.52
1656867376.0998225,16.48, 34.89
1656867377.1259375,13.82, 27.27
1656867378.1522007,15.36, 27.59
1656867379.1827075,18.87, 600.88
1656867380.2149687,29.01, 1471.57
1656867381.2509663,28.86, 1187.81
1656867382.2857893,37.79, 2539.42
