event_id,server_timestamp,client_id,client_timestamp
avatar_selected,1656589158373,Linux_551,1656589158235
joined_room,1656589151482,Linux_61,1656589151356
avatar_selected,1656589153334,Linux_752,1656589153213
joined_room,1656589147912,Linux_50,1656589147590
joined_room,1656589152447,Linux_881,1656589152321
joined_room,1656589148206,Linux_998,1656589148091
link_access,1656589030556,Linux_341,1656589030432
link_access,1656589032371,Linux_551,1656589031569
link_access,1656589030437,Linux_50,1656589030318
link_access,1656589032012,Linux_752,1656589031875
link_access,1656589029991,Linux_998,1656589029729
avatar_selected,1656589149320,Linux_50,1656589149000
avatar_selected,1656589149699,Linux_998,1656589149579
joined_room,1656589148121,Linux_341,1656589147802
avatar_selected,1656589152058,Linux_62,1656589151932
joined_room,1656589151343,Linux_752,1656589151224
joined_room,1656589152121,Linux_551,1656589151979
link_access,1656589032161,Linux_62,1656589031427
avatar_selected,1656589149612,Linux_341,1656589149304
link_access,1656589031835,Linux_881,1656589031657
avatar_selected,1656589152997,Linux_61,1656589152872
link_access,1656589017352,Linux_111,1656589016651
avatar_selected,1656589153905,Linux_881,1656589153778
link_access,1656589031424,Linux_61,1656589031284
joined_room,1656589150763,Linux_62,1656589150643
