enter_room_ms,avatar_sel_ms,users_no
30083,30334,4
12937,13175,4
26911,27301,4
31301,32543,4
43049,43391,16
22635,22957,16
24002,24189,16
52415,52906,16
135609,137337,16
35243,35580,16
136007,138683,16
126863,129447,16
136797,143089,16
117652,122818,16
49004,49448,16
118018,119059,16
52998,53644,16
135634,137655,16
53758,54892,16
79922,80976,16
20459,20756,16
66559,66882,8
66255,66513,8
15439,15626,8
52372,52674,8
69485,69950,8
69629,70084,8
60438,61660,8
53463,53599,8
12204,13427,2
