ts,ul_kBps,dl_kBps
1657371767.176714,4.70, 18.74
1657371768.2054818,25.42, 2170.80
1657371769.2327447,6.11, 70.49
1657371770.259809,13.92, 2227.01
1657371771.2861154,10.32, 508.96
1657371772.3153276,6.86, 1546.24
1657371773.3347213,18.66, 5217.54
1657371774.3595312,13.58, 4775.84
1657371775.3720365,20.50, 5717.65
1657371776.3885877,14.89, 5597.73
1657371777.4085095,14.19, 5398.12
1657371778.4396794,14.19, 5125.35
1657371779.4648736,10.08, 3249.58
1657371780.4875429,14.69, 5098.01
1657371781.5224028,16.28, 5162.19
1657371782.5593948,19.65, 5336.71
1657371783.5859587,15.73, 4838.37
1657371784.6126177,18.26, 4940.36
1657371785.639678,14.62, 5335.35
1657371786.6600776,14.84, 5356.75
1657371787.6909897,25.78, 5610.18
1657371788.7286875,24.10, 4966.87
1657371789.7515821,24.78, 3929.83
1657371790.7831378,31.37, 4993.37
1657371791.8079078,28.95, 5609.54
1657371792.8309982,27.51, 5078.71
1657371793.8523753,28.53, 5298.97
1657371794.868674,24.03, 4760.43
1657371795.8872964,26.30, 5187.09
1657371796.9033308,29.79, 5182.63
1657371797.9162002,32.14, 4500.71
1657371798.9338472,26.37, 5186.99
1657371799.9532332,22.21, 4416.18
1657371800.9783058,26.09, 5205.38
1657371802.0020936,26.35, 5153.64
1657371803.024534,29.47, 5727.49
1657371804.0424123,28.39, 5599.91
1657371805.0591094,10.90, 2334.45
1657371806.078384,11.57, 3853.56
1657371807.0956626,10.79, 3382.43
1657371808.1139455,13.89, 3057.86
1657371809.1431227,19.95, 3197.67
1657371810.1783566,19.08, 842.16
1657371811.2008672,15.70, 1133.00
1657371812.231236,9.80, 1.59
1657371813.2640383,11.18, 2.43
1657371814.2987874,13.45, 3.92
1657371815.3341467,19.61, 26.26
1657371816.3597496,10.64, 1.53
1657371817.3927786,10.58, 1.51
1657371818.4252927,13.02, 1.40
1657371819.4499707,10.74, 2.26
1657371820.4803598,11.45, 1.27
1657371821.5138745,9.49, 1.39
1657371822.5366642,11.71, 1.60
1657371823.5764933,11.61, 1.58
1657371824.5972657,10.84, 1.87
1657371825.630477,11.04, 1.50
1657371826.6503105,15.78, 14.66
1657371827.6867056,11.78, 149.07
1657371828.71019,10.25, 1.17
1657371829.7423253,10.54, 1.77
1657371830.7652936,10.90, 1.60
1657371831.7910523,15.70, 10.06
1657371832.815247,9.88, 1.48
1657371833.8330753,11.07, 1.32
1657371834.8648124,10.53, 1.64
1657371835.897558,14.41, 860.64
1657371836.929766,19.74, 3214.63
1657371837.9558194,18.47, 2481.21
1657371838.9888918,11.43, 1.52
1657371840.018072,10.13, 1.80
1657371841.0436366,13.02, 9.15
1657371842.0769484,10.29, 1.55
1657371843.104752,10.14, 1.48
1657371844.1404607,11.65, 1.47
1657371845.1634758,11.98, 2.43
1657371846.1928144,10.50, 1.54
1657371847.2163486,13.35, 2.65
1657371848.2551677,11.00, 2.09
1657371849.2730956,13.95, 47.15
1657371850.3100605,10.66, 1.71
1657371851.3460639,10.40, 1.43
1657371852.3807528,10.69, 1.70
1657371853.4133737,16.00, 2.74
1657371854.4347632,14.39, 7.72
1657371855.4705665,11.21, 1.77
1657371856.4942214,10.63, 1.71
1657371857.5216093,10.76, 1.52
1657371858.543845,10.81, 1.83
1657371859.5757728,10.88, 1.66
1657371860.605231,11.12, 1.79
1657371861.6376657,10.79, 8.28
1657371862.669003,10.45, 1.54
1657371863.6897714,11.92, 1.60
1657371864.723552,10.14, 1.72
1657371865.7409017,11.89, 2.18
1657371866.7759347,10.73, 1.56
1657371867.8014023,10.82, 1.59
1657371868.8352907,11.31, 1.62
1657371869.8731751,10.73, 1.96
1657371870.9056067,11.10, 1.69
1657371871.9420457,10.49, 1.68
1657371872.9715445,10.78, 1.61
1657371874.0054405,11.06, 1.49
1657371875.0410388,10.86, 1.64
1657371876.068658,10.29, 1.62
1657371877.1036868,10.27, 1.64
1657371878.1359715,9.98, 1.63
1657371879.1695158,11.53, 5.59
1657371880.2037027,11.04, 1.70
1657371881.2256732,10.34, 1.51
1657371882.2574482,10.88, 1.69
1657371883.2884803,16.64, 19.24
1657371884.305519,10.51, 1.46
1657371885.3345234,9.97, 1.71
1657371886.3642526,10.73, 1.42
1657371887.3851995,10.57, 1.80
1657371888.415427,11.19, 6.44
1657371889.4447072,24.21, 3.36
1657371890.472517,10.62, 2.41
1657371891.5024152,10.11, 1.65
1657371892.5249915,10.08, 1.23
1657371893.558976,11.72, 1.19
1657371894.5903947,10.14, 1.35
1657371895.6189213,10.73, 1.23
1657371896.6498961,10.17, 1.15
1657371897.6683123,10.88, 1.35
1657371898.6999867,11.47, 1.24
1657371899.7351215,11.02, 13.16
1657371900.7544641,10.55, 1.38
1657371901.7766926,10.26, 1.38
1657371902.8021758,10.39, 1.33
1657371903.8360398,12.91, 2.00
1657371904.8746333,10.02, 1.14
1657371905.9044895,9.01, 1.48
1657371906.9329755,10.00, 1.27
1657371907.9635456,10.43, 1.45
1657371908.9985569,11.21, 1.57
1657371910.0266821,11.06, 1.80
1657371911.08938,11.40, 1.35
1657371912.127864,10.69, 1.39
1657371913.167715,10.92, 1.66
1657371914.1971886,11.41, 1.41
1657371915.2385485,11.06, 1.64
1657371916.2719767,11.37, 1.45
1657371917.297663,11.05, 1.72
1657371918.336646,10.42, 1.42
1657371919.3659346,12.09, 1.71
1657371920.40261,11.28, 1.79
1657371921.4394617,11.37, 1.72
1657371922.4722056,10.70, 1.53
1657371923.5102317,11.48, 1.54
1657371924.5441754,11.54, 8.57
1657371925.5889592,14.06, 2.39
1657371926.6221554,13.31, 2.45
1657371927.6568215,10.53, 1.62
1657371928.699403,14.07, 119.30
1657371929.7413304,10.68, 28.93
1657371930.7670355,11.44, 1.79
1657371931.8005576,10.48, 1.68
1657371932.839144,11.86, 1.70
1657371933.8744087,11.46, 2.24
1657371934.9079702,10.97, 1.65
1657371935.9405334,10.94, 1.48
1657371936.9792268,10.53, 1.42
1657371938.0195763,12.07, 13.15
1657371939.03968,10.96, 1.62
1657371940.079977,8.03, 2.72
1657371941.1072996,12.70, 3.50
1657371942.1356606,14.21, 19.46
1657371943.1616518,10.68, 4.93
1657371944.1928585,11.84, 9.19
1657371945.2235177,12.89, 12.63
1657371946.2467911,13.85, 422.69
1657371947.2951188,18.62, 2553.55
1657371948.34423,6.51, 8.70
1657371949.365646,11.94, 6.36
1657371950.4011223,18.32, 1500.08
1657371951.429756,24.42, 3791.08
1657371952.4618554,13.67, 8.31
1657371953.4994712,10.67, 9.87
1657371954.5422006,12.05, 9.74
1657371955.5762439,12.72, 9.64
1657371956.6013808,9.70, 7.86
1657371957.630161,11.99, 9.73
1657371958.6687384,11.25, 10.03
1657371959.7009716,10.77, 9.82
1657371960.744484,10.63, 9.11
1657371961.7801948,10.04, 8.54
1657371962.8080935,10.48, 8.38
1657371963.8373733,10.54, 8.59
1657371964.871743,11.17, 9.77
1657371965.9068499,10.71, 4.22
1657371966.9431412,11.07, 7.84
1657371967.9769263,10.56, 7.78
1657371969.0107205,12.78, 148.58
1657371970.031135,11.26, 9.54
1657371971.0669303,10.58, 8.43
1657371972.0975559,10.38, 9.28
1657371973.1264732,15.44, 9.45
1657371974.1588237,11.39, 4.85
1657371975.195207,10.79, 9.76
1657371976.2373087,11.47, 10.03
1657371977.2732513,9.84, 6.68
1657371978.3137195,10.10, 6.49
1657371979.3463833,11.69, 4.19
1657371980.3784387,10.68, 4.22
1657371981.408736,10.50, 4.34
1657371982.4428635,11.00, 4.26
1657371983.475734,11.05, 8.33
1657371984.5038462,11.12, 10.19
1657371985.5347025,10.31, 7.39
1657371986.5720162,11.80, 9.92
1657371987.6055634,10.30, 8.50
1657371988.6417608,11.76, 8.81
1657371989.68071,10.50, 9.50
1657371990.7113018,11.32, 13.00
1657371991.7470236,10.82, 9.62
1657371992.7788396,10.96, 10.55
1657371993.8165302,11.24, 14.21
1657371994.845474,12.79, 12.97
1657371995.8848886,10.95, 15.87
1657371996.9269254,21.05, 2916.02
1657371997.955784,12.87, 552.65
1657371998.993683,12.44, 21.33
1657372000.0297081,11.11, 18.50
1657372001.0647337,11.06, 16.90
1657372002.0967045,10.60, 12.77
1657372003.1233613,11.20, 13.14
1657372004.1629043,12.04, 12.25
1657372005.194389,11.30, 14.59
1657372006.2302308,11.09, 13.85
1657372007.262246,11.57, 8.72
1657372008.2997835,11.05, 13.00
1657372009.3344417,14.59, 10.03
1657372010.383155,11.19, 21.34
1657372011.422408,11.31, 23.64
1657372012.4591472,11.13, 24.17
1657372013.4951558,11.08, 28.71
1657372014.534962,12.75, 26.37
1657372015.5647497,12.51, 31.91
1657372016.6049895,11.88, 22.14
1657372017.6418688,11.59, 27.99
1657372018.678297,11.39, 29.03
1657372019.7130797,11.60, 23.38
1657372020.7519364,11.38, 24.71
1657372021.7816687,11.15, 22.00
1657372022.8159711,11.03, 20.41
1657372023.8476913,12.50, 28.94
1657372024.8895283,10.82, 22.91
1657372025.9225678,11.44, 28.06
1657372026.9640043,11.08, 19.94
1657372027.997417,11.37, 23.27
1657372029.026191,12.08, 21.16
1657372030.0594506,10.83, 21.89
1657372031.0843472,16.16, 39.79
1657372032.121635,28.83, 63.81
1657372033.1513536,11.59, 30.37
1657372034.1815946,10.96, 26.58
1657372035.2161443,12.95, 337.76
1657372036.2470796,14.94, 1418.62
1657372037.264919,11.47, 55.03
1657372038.2980785,10.97, 34.79
1657372039.3274329,11.90, 36.49
1657372040.3659465,12.13, 39.16
1657372041.390594,11.57, 40.18
1657372042.4208004,11.97, 35.35
1657372043.4499333,11.23, 26.26
1657372044.4816604,15.70, 35.07
1657372045.507075,12.28, 27.38
1657372046.5374997,10.60, 34.49
1657372047.5652993,12.07, 38.94
1657372048.6076295,11.14, 25.93
1657372049.643025,12.70, 34.08
1657372050.6860144,12.33, 33.02
1657372051.7244098,11.15, 37.50
