ts,ul_kBps,dl_kBps
1657293656.5694268,6.48, 28.58
1657293657.5843189,14.01, 137.07
1657293658.607055,54.13, 7236.39
1657293659.62927,28.78, 2030.42
1657293660.6398778,9.83, 6500.90
1657293661.6475732,40.42, 15369.11
1657293662.668571,25.88, 16285.89
1657293663.6830406,52.82, 32981.21
1657293664.7040343,39.09, 35696.21
1657293665.7233021,37.97, 35303.73
1657293666.7339349,38.81, 36455.82
1657293667.740312,38.90, 29212.85
1657293668.7593162,33.34, 23244.25
1657293669.7762253,28.24, 20486.88
1657293670.7892244,24.47, 738.27
1657293671.8122249,22.25, 1138.76
1657293672.828224,53.67, 3144.79
1657293673.8432312,62.43, 4036.58
1657293674.8552246,76.07, 6081.95
1657293675.87323,73.73, 6202.94
1657293676.8852327,76.75, 6256.87
1657293677.8992264,79.21, 6274.87
1657293678.9132302,79.35, 6226.55
1657293679.9272275,75.14, 6256.24
1657293680.9472272,79.43, 6270.87
1657293681.955224,76.54, 6063.08
1657293682.97323,76.69, 6065.31
1657293683.9952245,78.28, 6289.29
1657293685.0132327,81.70, 6357.12
1657293686.0342236,78.69, 6281.47
1657293687.054224,78.73, 6257.74
1657293688.0672421,65.57, 4627.18
1657293689.0752287,52.31, 3176.48
1657293690.0912237,42.07, 1863.82
1657293691.1032298,26.73, 51.20
1657293692.1112242,26.29, 52.64
1657293693.1202252,26.66, 50.84
1657293694.1292245,25.59, 50.81
1657293695.1372256,28.55, 51.41
1657293696.1452305,27.58, 51.55
1657293697.1642275,25.73, 50.58
1657293698.1762245,27.19, 52.70
1657293699.1972241,27.31, 50.62
1657293700.2192318,26.21, 50.94
1657293701.2422268,26.74, 49.42
1657293702.2612247,26.30, 51.16
1657293703.2722332,28.70, 54.38
1657293704.2802298,23.91, 51.17
1657293705.2882285,25.32, 46.30
1657293706.30923,24.00, 46.29
1657293707.3272245,26.19, 53.87
1657293708.336224,27.03, 50.24
1657293709.3572237,25.09, 50.12
1657293710.3652377,26.89, 50.19
1657293711.377225,26.41, 49.84
1657293712.3842235,26.25, 52.08
1657293713.3952315,28.59, 51.56
1657293714.4172323,26.36, 50.53
1657293715.438224,27.53, 51.70
1657293716.4452236,39.67, 64.76
1657293717.465228,27.42, 63.58
1657293718.4852252,27.48, 51.21
1657293719.5042326,26.52, 50.52
1657293720.5112293,26.50, 50.68
1657293721.5282238,54.49, 6723.03
1657293722.5432239,27.59, 51.87
1657293723.5622237,26.65, 50.76
1657293724.5732243,26.04, 49.79
1657293725.5812304,25.98, 50.09
1657293726.5892253,49.79, 17064.61
1657293727.606231,46.35, 207.04
1657293728.6142309,29.39, 84.26
1657293729.6332314,33.72, 61.67
1657293730.6432307,31.69, 109.74
1657293731.6532254,30.92, 57.58
1657293732.66123,33.54, 60.97
1657293733.683223,43.25, 264.36
1657293734.6902235,40.13, 996.61
1657293735.7082245,35.98, 208.79
1657293736.728225,30.48, 159.66
1657293737.74823,39.08, 2477.36
1657293738.7692304,34.73, 87.66
1657293739.779223,30.44, 433.44
1657293740.7982244,32.60, 431.53
1657293741.8182304,33.75, 842.88
1657293742.826231,40.27, 299.53
1657293743.845234,39.15, 2473.07
1657293744.8662307,31.02, 55.52
1657293745.8872232,26.76, 49.39
1657293746.8952248,27.06, 51.65
1657293747.916223,29.08, 53.31
1657293748.9242294,25.85, 51.11
1657293749.9452345,27.05, 49.80
1657293750.9652312,26.46, 51.00
1657293751.9832282,26.10, 48.96
1657293753.002226,28.24, 52.55
1657293754.0232248,23.85, 49.00
1657293755.0302231,23.20, 45.81
1657293756.038223,24.52, 48.47
1657293757.0582302,23.79, 48.93
1657293758.0732234,24.49, 47.49
