event_id,server_timestamp,client_id,client_timestamp
joined_room,1656676682562,Linux_41,1656676682237
link_access,1656676610849,Linux_139,1656676610672
joined_room,1656676681301,Linux_253,1656676681178
avatar_selected,1656676684189,Linux_139,1656676684068
avatar_selected,1656676682646,Linux_253,1656676682527
link_access,1656676611203,Windows_964,1656676610026
avatar_selected,1656676682332,Linux_718,1656676682213
avatar_selected,1656676650189,Windows_964,1656676649708
link_access,1656676610344,Linux_41,1656676610172
link_access,1656676610760,Linux_718,1656676610641
avatar_selected,1656676683442,Linux_41,1656676683252
joined_room,1656676649928,Windows_964,1656676649461
link_access,1656676508183,Linux_421,1656676507588
joined_room,1656676681490,Linux_718,1656676681368
joined_room,1656676683028,Linux_139,1656676682903
link_access,1656676611169,Linux_253,1656676610286
