ts,ul_kBps,dl_kBps
1656949968.5661922,0.59, 0.31
1656949969.6163085,4.17, 23.47
1656949970.6422265,31.03, 2264.66
1656949971.6593492,26.89, 3152.19
1656949972.6931548,6.29, 61.40
1656949973.7252474,4.99, 729.36
1656949974.7522864,11.01, 2558.42
1656949975.7638884,17.74, 3042.50
1656949976.7839239,18.14, 3444.30
1656949977.7989256,14.47, 2951.25
1656949978.8117993,11.00, 2301.12
1656949979.8268945,27.66, 3440.59
1656949980.8482447,14.15, 3362.92
1656949981.8662765,9.91, 2641.98
1656949982.8948982,18.37, 3166.45
1656949983.9115222,14.02, 3635.34
1656949984.9453125,16.17, 3300.50
1656949985.9807837,24.89, 2300.68
1656949987.0006034,32.71, 4436.31
1656949988.0270956,40.41, 4052.47
1656949989.0574646,57.59, 3935.06
1656949990.0756695,39.38, 3632.13
1656949991.1038125,33.32, 4053.81
1656949992.1211708,34.27, 3983.13
1656949993.1366441,56.97, 3891.75
1656949994.1499712,39.85, 4114.11
1656949995.1637306,42.11, 3807.76
1656949996.1918237,47.52, 4100.99
1656949997.2140603,45.26, 3941.65
1656949998.2400928,35.83, 3104.80
1656949999.275753,34.82, 2902.89
1656950000.2992191,36.58, 2904.45
1656950001.3276758,19.24, 1511.08
1656950002.3490188,39.35, 3449.12
1656950003.364182,35.99, 3322.78
1656950004.3849595,42.22, 3785.88
1656950005.415566,40.60, 3138.62
1656950006.4426224,48.79, 4004.69
1656950007.456168,59.60, 5564.81
1656950008.4676101,28.39, 3837.48
1656950009.4927123,13.60, 2751.31
1656950010.5189962,18.11, 3208.79
1656950011.5388358,24.67, 4617.09
1656950012.568966,34.56, 6461.47
1656950013.5947382,29.75, 8538.05
1656950014.6157515,32.49, 8982.08
1656950015.6324065,28.04, 8097.63
1656950016.64687,31.08, 8584.12
1656950017.6671035,31.38, 8444.74
1656950018.6929252,4.17, 381.24
1656950019.7214797,1.61, 118.49
1656950020.740539,9.06, 2073.63
1656950021.7568913,3.21, 484.42
1656950022.7688756,4.94, 143.35
1656950023.7894657,10.21, 37.18
1656950024.811377,11.94, 231.33
1656950025.8367643,17.28, 2306.20
1656950026.8644323,14.64, 541.13
1656950027.8860297,9.03, 27.56
1656950028.9127152,16.52, 37.86
1656950029.9461858,9.63, 23.99
1656950030.9726336,11.86, 23.12
1656950031.9988906,14.20, 21.99
1656950033.0240333,13.12, 21.87
1656950034.0473142,10.45, 23.74
1656950035.07171,8.98, 23.86
1656950036.1012025,10.11, 23.22
1656950037.1253743,13.38, 20.01
1656950038.1506963,13.87, 24.26
1656950039.1749902,15.07, 26.36
1656950040.2013888,14.08, 24.03
1656950041.2312076,12.95, 22.63
1656950042.2542412,13.27, 22.90
1656950043.2826364,12.74, 24.01
1656950044.304789,13.10, 25.29
1656950045.3399086,11.82, 23.57
1656950046.3641546,14.29, 23.37
1656950047.3874435,12.50, 23.75
1656950048.4123228,11.27, 22.88
1656950049.4377756,13.04, 23.14
1656950050.466673,11.15, 22.88
1656950051.4934916,11.19, 23.44
1656950052.514628,12.96, 25.39
1656950053.5465996,12.96, 22.06
1656950054.570652,14.26, 29.38
1656950055.6041498,11.00, 22.36
1656950056.6281285,11.40, 23.71
1656950057.6513944,12.22, 22.23
1656950058.677162,12.07, 23.64
1656950059.7067568,11.92, 23.66
1656950060.7323656,11.84, 23.93
1656950061.767702,11.37, 21.78
1656950062.8018644,11.84, 22.77
1656950063.8237622,11.98, 25.11
1656950064.8505595,12.32, 25.57
1656950065.8702939,14.17, 22.69
1656950066.8916483,11.41, 24.46
1656950067.9264688,12.50, 25.21
1656950068.952549,11.76, 34.24
1656950069.973466,12.61, 77.88
1656950071.0059724,12.51, 113.43
1656950072.041868,13.20, 25.47
1656950073.067015,13.06, 26.41
1656950074.0998454,17.90, 40.91
1656950075.1345186,14.76, 25.71
1656950076.1679742,16.26, 23.87
1656950077.2022529,13.24, 22.44
1656950078.2388015,15.18, 24.75
1656950079.2588122,13.37, 23.82
1656950080.285236,14.33, 24.17
1656950081.309098,12.94, 23.79
1656950082.3316512,15.22, 29.51
1656950083.3598695,13.54, 23.92
1656950084.3845046,14.25, 25.64
1656950085.4142423,14.95, 25.21
1656950086.4496126,12.95, 23.85
1656950087.4851363,11.77, 22.42
1656950088.5169494,11.99, 23.44
1656950089.5433676,12.11, 24.27
1656950090.5687854,11.90, 20.19
1656950091.5939636,11.03, 20.89
1656950092.6181753,10.11, 24.36
1656950093.652288,10.06, 26.38
1656950094.6796975,12.47, 26.59
1656950095.7191556,20.15, 1716.22
1656950096.7489042,29.69, 3639.14
1656950097.7709224,12.90, 26.67
1656950098.8069193,11.62, 26.90
1656950099.8385851,13.34, 24.02
1656950100.872714,10.94, 22.78
1656950101.9016986,8.87, 23.14
1656950102.935678,13.68, 25.42
1656950103.9714217,13.85, 24.04
1656950104.9950466,12.35, 24.37
1656950106.0268357,16.67, 23.73
1656950107.0522776,13.34, 22.49
1656950108.0862944,14.90, 26.04
1656950109.1176028,13.77, 23.96
1656950110.1420684,14.07, 23.45
1656950111.168433,14.08, 23.37
1656950112.207644,13.20, 22.76
1656950113.2419987,14.25, 55.25
1656950114.2650797,13.84, 23.49
1656950115.298135,13.83, 23.79
1656950116.3349195,11.00, 22.58
1656950117.3688765,11.94, 23.41
1656950118.3971727,11.79, 23.17
1656950119.4215093,11.69, 25.86
1656950120.4619138,12.05, 23.37
1656950121.4971201,11.54, 21.73
1656950122.5232756,10.48, 21.30
1656950123.5500767,11.66, 25.96
1656950124.5893,12.90, 25.04
1656950125.6248353,12.91, 23.04
1656950126.6635132,12.23, 20.87
1656950127.7076366,12.83, 22.85
1656950128.745309,17.34, 25.97
1656950129.781582,11.45, 22.46
1656950130.8122287,12.19, 23.02
1656950131.8540416,11.23, 22.02
1656950132.8832426,11.13, 23.77
1656950133.9206295,10.96, 24.21
1656950134.9466083,13.65, 33.31
1656950135.9878821,11.31, 23.06
1656950137.0233886,11.06, 21.28
1656950138.0478585,11.84, 21.75
1656950139.0885167,14.20, 23.43
1656950140.1209059,11.05, 23.48
1656950141.158966,11.47, 22.37
1656950142.1968896,11.33, 23.76
1656950143.2256827,16.89, 24.05
1656950144.2516735,12.06, 27.45
1656950145.2978299,11.27, 26.02
1656950146.331126,9.28, 24.81
1656950147.362178,11.54, 26.16
1656950148.3928556,12.05, 26.53
1656950149.4327888,11.11, 24.65
1656950150.4682395,11.83, 26.04
1656950151.491065,11.13, 25.66
1656950152.5144224,12.90, 26.53
1656950153.539092,11.77, 27.29
1656950154.5611317,12.51, 25.86
1656950155.5952861,11.74, 25.75
