enter_room_ms,avatar_sel_ms,users_no
379655,419847,16
323144,326805,16
325708,330953,16
373942,405660,16
370725,400776,16
362933,379859,16
343672,354944,16
371770,391947,16
307654,310125,16
299997,302438,16
349225,359775,16
369002,387385,16
379447,410733,16
369404,410557,16
362782,382548,16
338766,350328,16
33270,33513,16
