enter_room_ms,avatar_sel_ms,users_no
247254,272090,16
214681,217073,16
254016,284882,16
229453,239956,16
251728,281534,16
250783,276645,16
253473,280482,16
229598,242218,16
249093,270826,16
125697,128475,16
198604,201265,16
243552,265582,16
219993,227362,16
198755,201382,16
253377,285324,16
30800,31047,16
